step,metric,value
54,grad_norm,0.7775995135307312
54,learning_rate,0.0004421841541755889
54,mean_token_accuracy,0.5296036414802074
54,epoch,0.11547714514835605
55,loss,2.02
55,grad_norm,0.7908494472503662
55,learning_rate,0.00044111349036402573
55,mean_token_accuracy,0.5377044677734375
55,epoch,0.11761561079925154
56,loss,2.0208
56,grad_norm,1.1002684831619263
56,learning_rate,0.0004400428265524625
56,mean_token_accuracy,0.5293108597397804
56,epoch,0.11975407645014702
57,loss,2.0253
57,grad_norm,0.8156374096870422
57,learning_rate,0.00043897216274089935
57,mean_token_accuracy,0.5394460745155811
57,epoch,0.1218925421010425
58,loss,2.0069
58,grad_norm,0.6573622822761536
58,learning_rate,0.0004379014989293362
58,mean_token_accuracy,0.5399462133646011
58,epoch,0.12403100775193798
59,loss,2.0386
59,grad_norm,0.6158382296562195
59,learning_rate,0.00043683083511777303
59,mean_token_accuracy,0.5267076008021832
59,epoch,0.12616947340283347
60,loss,2.0345
60,grad_norm,0.6682591438293457
60,learning_rate,0.0004357601713062099
60,mean_token_accuracy,0.5285635963082314
60,epoch,0.12830793905372895
61,loss,2.0534
61,grad_norm,0.6861095428466797
61,learning_rate,0.0004346895074946467
61,mean_token_accuracy,0.5114462524652481
61,epoch,0.13044640470462443
62,loss,2.0248
62,grad_norm,0.6701619029045105
62,learning_rate,0.0004336188436830835
62,mean_token_accuracy,0.532659262418747
62,epoch,0.1325848703555199
63,loss,1.9787
63,grad_norm,0.7795778512954712
63,learning_rate,0.00043254817987152034
63,mean_token_accuracy,0.5370399877429008
63,epoch,0.1347233360064154
64,loss,1.9456
64,grad_norm,1.2432401180267334
64,learning_rate,0.0004314775160599572
64,mean_token_accuracy,0.5494177490472794
64,epoch,0.13686180165731088
65,loss,2.0526
65,grad_norm,0.7276017069816589
65,learning_rate,0.00043040685224839397
65,mean_token_accuracy,0.5169640593230724
65,epoch,0.13900026730820636
66,loss,1.9999
66,grad_norm,0.6093804240226746
66,learning_rate,0.00042933618843683086
66,mean_token_accuracy,0.537065114825964
66,epoch,0.14113873295910184
67,loss,1.9958
67,grad_norm,0.6073524355888367
67,learning_rate,0.0004282655246252677
67,mean_token_accuracy,0.5392148494720459
67,epoch,0.14327719860999732
68,loss,2.0381
68,grad_norm,0.6561245322227478
68,learning_rate,0.0004271948608137045
68,mean_token_accuracy,0.5325814671814442
68,epoch,0.1454156642608928
69,loss,1.994
69,grad_norm,0.6322530508041382
